,,,,,,0 K,298.15 K (25 °C) and 0.1 Mpa (1 bar),,,,,
HBr,in C6H14:x in n-hexane,,,,80.9170,-,-47.7,-45.6,-,134.3,-,
HBr,in C8H18:x in n-octane,,,,80.9170,-,-47.7,-46.0,-,136.0,-,
HBr,in CHCl3:x,,,,80.9170,-,-50.2,-46.0,-,127.2,-,
HBr,in C10H22:x in n-decane,,,,80.9170,-,-47.3,-46.4,-,138.1,-,
HBr,in CCl4:x,,,,80.9170,-,-49.8,-45.6,-,127.2,-,
HBr<sup>+</sup>,,,,g,80.9170,1096.6,1095.0,-,-,-,-,
HBrO,,,,ao,96.9164,-,-113.0,-82.4,-,142.,-,
HBrO3,,,,ai,128.9152,-,-67.07,18.60,-,161.71,-,
HBrO3,in 400 H2O,,,,128.9152,-,-66.86,-,-,-,-,
HBrO4,,,,ai,144.9146,-,13.0,118.1,-,199.6,-,
BrF,,,,g,98.9074,-86.2,-93.85,-109.18,9.021,228.97,32.97,
BrF3,,,,l,136.9042,-,-300.8,-240.5,-,178.2,124.60,
BrF3,,,,g,136.9042,-244.39,-255.60,-229.43,14.293,292.53,66.61,
BrF5,,,,l,174.9010,-,-458.6,-351.8,-,225.1,-,
BrF5,,,,g,174.9010,-413.17,-428.9,-350.6,18.627,320.19,99.62,
BrCl,,,,g,115.3620,22.09,14.64,-0.98,9.393,240.10,34.98,
BrCl,in CCl4:u,,,,115.3620,-,-6.473,-,-,-,-,
BrCl<sup>+</sup>,,,,g,115.3620,1088.,1088.,-,-,-,-,
Br2Cl<sup>-</sup>,,,,ao,195.2710,-,-170.3,-128.4,-,188.7,-,
Table 12:I,,,,,,,,,,,,
Iodine (Prepared 1964),,,,,,,,,,,,
I,,,,g,126.9044,107.240,106.838,70.250,6.197,180.791,20.786,
I<sup>+</sup>,,,,g,126.9044,1115.626,1121.421,-,6.197,-,-,
I<sup>2+</sup>,,,,g,126.9044,2961.48,2973.49,-,6.197,-,-,
I<sup>-</sup>,,,,g,126.9044,-188.2*,-194.6*,-,-,-,-,
I<sup>-</sup>,,,,ao,126.9044,-,-55.19,-51.57,-,111.3,-142.3,
I2,,,,cr,253.8088,0,0,0,13.196,116.135,54.438,
I2,,,,g,253.8088,65.517,62.438,19.327,10.117,260.69,36.90,
I2,,,,ao,253.8088,-,22.6,16.40,-,137.2,-,
I2,in C6H6:x,,,,253.8088,-,18.0,7.1,-,152.7,-,
I2,in C6H12:x in cyclohexane,,,,253.8088,-,24.3,11.7,-,158.2,-,
I2,in CCl4:s,,,,253.8088,-,25.1,11.13,-,163.2,-,
I2,in CCl2FCClF2:x,,,,253.8088,-,30.5,15.1,-,168.2,-,
I2,in CHBr3:x,,,,253.8088,-,22.2,6.7,-,168.6,-,
I2,in CH3OH:u,,,,253.8088,-,8.8,-,-,-,-,
I2,"in C4H8O2:u2 in 1,4-dioxane",,,,253.8088,-,7.5,-,-,-,-,
I2,in C2H5OH:u,,,,253.8088,-,7.1,-,-,-,-,
I2,in CH3COOCH3:u in methyl acetate,,,,253.8088,-,10.0,-,-,-,-,
I2,in (C2H5)2O:u,,,,253.8088,-,7.5,-,-,-,-,
I2,in CS2:u,,,,253.8088,-,21.8,-,-,-,-,
I2,in C5H5N:u in pyridine,,,,253.8088,-,16.7,-,-,-,-,
I2,in CH3COOC2H5:u in ethyl acetate,,,,253.8088,-,13.0,-,-,-,-,
I2,in C6H5CH3:u,,,,253.8088,-,15.9,-,-,-,-,
I2,in C6H5Cl:u,,,,253.8088,-,20.1,-,-,-,-,
I2,in CF3C6F11:x in perfluoromethylcyclohexane,,,,253.8088,-,39.7,20.9,-,179.5,-,
I2,in CHCl3:u,,,,253.8088,-,22.2,-,-,-,-,
I2,in C6H5NO2:u,,,,253.8088,-,7.1,-,-,-,-,
I2,in C6H5COOCH3:u in methyl benzoate,,,,253.8088,-,16.3,-,-,-,-,
I2,in C7F16:x in n-perfluoroheptane,,,,253.8088,-,43.1,21.3,-,189.1,-,
I2<sup>+</sup>,,,,g,253.8088,964.4,967.3,-,-,-,-,
I3<sup>-</sup>,,,,ao,380.7132,-,-51.5,-51.4,-,239.3,-,
IO,,,,g,142.9038,177.0,175.06,149.77,9.008,245.50,32.89,
IO<sup>-</sup>,,,,ao,142.9038,-,-107.5,-38.5,-,-5.4,-,
IO3<sup>-</sup>,,,,ao,174.9026,-,-221.3,-128.0,-,118.4,-,
IO4<sup>-</sup>,,,,ao,190.9020,-,-151.5,-58.5,-,222.,-,
I2O<sup>2-</sup>,,,,ao,269.8082,-,-,-82.4,-,-,-,
I2O5,,,,cr,333.8058,-,-158.07,-,-,-,-,
HI,,,,g,127.9124,28.660,26.48,1.70,8.657,206.594,29.158,
HI,,,,ai,127.9124,-,-55.19,-51.57,-,111.3,-142.3,
HI,in 3.0 H2O,,,,127.9124,-,-35.82,-,-,-,-,
HI,in 4.0 H2O,,,,127.9124,-,-42.80,-,-,-,-,
HI,in 4.5 H2O,,,,127.9124,-,-44.89,-,-,-,-,
HI,in 5.0 H2O,,,,127.9124,-,-46.40,-,-,-,-,
HI,in 6.0 H2O,,,,127.9124,-,-48.367,-,-,-,-,
HI,in 8.0 H2O,,,,127.9124,-,-50.522,-,-,-,-,
HI,in 10 H2O,,,,127.9124,-,-51.610,-,-,-,-,
HI,in 12 H2O,,,,127.9124,-,-52.258,-,-,-,-,
HI,in 15 H2O,,,,127.9124,-,-52.944,-,-,-,-,
HI,in 20 H2O,,,,127.9124,-,-53.530,-,-,-,-,
HI,in 25 H2O,,,,127.9124,-,-53.781,-,-,-,-,
HI,in 30 H2O,,,,127.9124,-,-53.928,-,-,-,-,
HI,in 40 H2O,,,,127.9124,-,-54.099,-,-,-,-,
HI,in 50 H2O,,,,127.9124,-,-54.208,-,-,-,-,
HI,in 75 H2O,,,,127.9124,-,-54.375,-,-,-,-,
HI,in 100 H2O,,,,127.9124,-,-54.451,-,-,-,-,
HI,in 200 H2O,,,,127.9124,-,-54.601,-,-,-,-,
HI,in 300 H2O,,,,127.9124,-,-54.664,-,-,-,-,
HI,in 400 H2O,,,,127.9124,-,-54.702,-,-,-,-,
HI,in 500 H2O,,,,127.9124,-,-54.735,-,-,-,-,
HI,in 600 H2O,,,,127.9124,-,-54.760,-,-,-,-,
HI,in 800 H2O,,,,127.9124,-,-54.802,-,-,-,-,
HI,in 1000 H2O,,,,127.9124,-,-54.836,-,-,-,-,
HI,in 2000 H2O,,,,127.9124,-,-54.923,-,-,-,-,
HI,in 3000 H2O,,,,127.9124,-,-54.969,-,-,-,-,
HI,in 4000 H2O,,,,127.9124,-,-54.994,-,-,-,-,
HI,in 5000 H2O,,,,127.9124,-,-55.015,-,-,-,-,
HI,in 7000 H2O,,,,127.9124,-,-55.045,-,-,-,-,
HI,in 10000 H2O,,,,127.9124,-,-55.066,-,-,-,-,
HI,in 20000 H2O,,,,127.9124,-,-55.103,-,-,-,-,
HI,in 50000 H2O,,,,127.9124,-,-55.137,-,-,-,-,
HI,in 100000 H2O,,,,127.9124,-,-55.149,-,-,-,-,
HI,in ∞ H2O,,,,127.9124,-,-55.19,-,-,-,-,
HI<sup>+</sup>,,,,g,127.9124,1030.77,1034.79,-,-,-,-,
HIO,,,,ao,143.9118,-,-138.1,-99.1,-,95.4,-,
HIO3,,,,cr,175.9106,-,-230.1,-,-,-,-,
HIO3,,,,ao,175.9106,-,-211.3,-132.6,-,166.9,-,
HIO3,in 100 H2O,,,,175.9106,-,-216.3,-,-,-,-,
HIO3,in 200 H2O,,,,175.9106,-,-216.7,-,-,-,-,
HIO3,in 400 H2O,,,,175.9106,-,-217.6,-,-,-,-,
HIO3,in 800 H2O,,,,175.9106,-,-218.4,-,-,-,-,
H2OI<sup>+</sup>,,,,ao,144.9198,-,-,-106.7,-,-,-,
H3IO6<sup>2-</sup>,,,,ao,225.9248,-,-756.0,-,-,-,-,
H5IO6<sup>-</sup>,,,,ao,226.9328,-,-759.4,-,-,-,-,
H5IO6,,,,ao,227.9408,-,-759.4,-,-,-,-,
H5IO6,in 2000 H2O,,,,227.9408,-,-757.7,-,-,-,-,
I2OH<sup>-</sup>,,,,ao,270.8162,-,-,-230.1,-,-,-,
I2O5·HIO3,,,,cr,509.7164,-,-385.8,-,-,-,-,
IF,,,,g,145.9028,-93.72,-95.65,-118.51,9.096,236.17,33.43,
IF<sup>+</sup>,,,,g,145.9028,923.4,927.6,-,-,-,-,
IF5,,,,l,221.8964,-,-864.8,-,-,-,-,
IF5,,,,g,221.8964,-812.91,-822.49,-751.73,19.100,327.7,99.2,
IF5<sup>+</sup>,,,,g,221.8964,436.0,432.6,-,-,-,-,
IF7,,,,g,259.8932,-930.5,-943.9,-818.3,24.066,346.5,136.4,
ICl,α form,,,cr,162.3574,-,-35.1,-,-,-,-,
ICl,,,,l,162.3574,-,-23.89,-13.58,-,135.1,-,
ICl,,,,g,162.3574,19.41,17.78,-5.46,9.548,247.551,35.56,
ICl,,,,ao,162.3574,-,-,-17.1,-,-,-,
ICl,in CCl4:x,,,,162.3574,-,-13.8,-8.8,-,152.7,-,
ICl<sup>+</sup>,,,,g,162.3574,992.9,997.5,-,-,-,-,
ICl2<sup>-</sup>,,,,ao,197.8104,-,-,-161.0,-,-,-,
ICl3,,,,cr,233.2634,-,-89.5,-22.29,-,167.4,-,
I2Cl<sup>-</sup>,,,,ao,289.2618,-,-137.7,-116.3,-,221.3,-,
IBr,,,,cr,206.8134,-,-10.5,-,-,-,-,
IBr,,,,g,206.8134,49.79,40.84,3.69,9.904,258.773,36.44,
IBr,,,,ao,206.8134,-,-,-4.2,-,-,-,
IBr,in CCl4:x,,,,206.8134,-,6.78,-1.7,-,163.,-,
IBr<sup>+</sup>,,,,g,206.8134,994.41,991.65,-,-,-,-,
IBr2<sup>-</sup>,,,,ao,286.7224,-,-,-123.0,-,-,-,
BrI2<sup>-</sup>,,,,ao,333.7178,-,-128.0,-110.0,-,197.5,-,
HBrI2,,from BrI2<sup>-</sup>,,ai,334.7258,-,-128.0,-110.0,-,197.5,-,
IBrCl<sup>-</sup>,,,,ao,242.2664,-,-,-146.4,-,-,-,
Table 13:At,,,,,,,,,,,,
Astatine (Prepared 1964),,,,,,,,,,,,
At,,,,cr,210.0000,0,0,0,-,-,-,
Table 14:S,,,,,,,,,,,,
Sulfur (Prepared 1964),,,,,,,,,,,,
S,,,rhombic,cr,32.0640,0,0,0,4.410,31.80,22.64,
S,,,monoclinic,cr2,32.0640,-,0.33,-,-,-,-,
S,,,,g,32.0640,276.6,278.805,238.250,6.657,167.821,23.673,
S,in 2 CS2,,,,32.0640,-,1.682,-,-,-,-,
S,in 6 CS2,,,,32.0640,-,1.695,-,-,-,-,
S,in (C2H5)2O:u,,,,32.0640,-,6.3,-,-,-,-,
S,in C6H6:u,,,,32.0640,-,2.89,-,-,-,-,
S,in CHCl3:u,,,,32.0640,-,2.93,-,-,-,-,
S,in CCl4:u,,,,32.0640,-,2.59,-,-,-,-,
S<sup>+</sup>,,,,g,32.0640,1276.133,1284.111,-,6.197,-,-,
S<sup>2+</sup>,,,,g,32.0640,3527.5,3543.4,-,8.042,-,-,
S<sup>3+</sup>,,,,g,32.0640,6887.7,6908.2,-,6.422,-,-,
S<sup>4+</sup>,,,,g,32.0640,11452.0,11478.8,-,6.197,-,-,
S<sup>5+</sup>,,,,g,32.0640,18464.,18497.,-,6.197,-,-,
S<sup>6+</sup>,,,,g,32.0640,26958.,26995.,-,6.197,-,-,
S<sup>7+</sup>,,,,g,32.0640,54061.,54107.,-,6.197,-,-,
S<sup>8+</sup>,,,,g,32.0640,85730.,85780.,-,6.197,-,-,
S<sup>9+</sup>,,,,g,32.0640,122307.,122365.,-,6.197,-,-,
S<sup>-</sup>,,,,g,32.0640,75.,71.,-,-,-,-,
S<sup>2-</sup>,,,,ao,32.0640,-,33.1,85.8,-,-14.6,-,
S2,,,,g,64.1280,128.227,128.37,79.30,8.958,228.18,32.47,
S2<sup>+</sup>,,,,g,64.1280,1031.4,1037.6,-,-,-,-,
S2<sup>2-</sup>,,,,ao,64.1280,-,30.1,79.5,-,28.5,-,
S3,,,,g,96.1920,-,132.6,-,-,-,-,
S3<sup>+</sup>,,,,g,96.1920,-,1072.8,-,-,-,-,
S3<sup>2-</sup>,,,,ao,96.1920,-,25.9,73.7,-,66.1,-,
S4,,,,g,128.2560,-,136.8,-,-,-,-,
S4<sup>+</sup>,,,,g,128.2560,-,1133.4,-,-,-,-,
S4<sup>2-</sup>,,,,ao,128.2560,-,23.0,69.1,-,103.3,-,
S5,,,,g,160.3200,-,123.8,-,-,-,-,
S5<sup>+</sup>,,,,g,160.3200,-,959.8,-,-,-,-,
S5<sup>2-</sup>,,,,ao,160.3200,-,21.3,65.7,-,140.6,-,
S6,,,,g,192.3840,-,102.5,-,-,-,-,
S6<sup>+</sup>,,,,g,192.3840,-,977.0,-,-,-,-,
S7,,,,g,224.4480,-,113.4,-,-,-,-,
S7<sup>+</sup>,,,,g,224.4480,-,956.0,-,-,-,-,
S8,,,,g,256.5120,106.06,102.30,49.63,31.510,430.98,156.44,
S8<sup>+</sup>,,,,g,256.5120,978.2,980.7,-,-,-,-,
SO,,,,g,48.0634,6.3,6.259,-19.853,8.732,221.95,30.17,
SO<sup>+</sup>,,,,g,48.0634,1001.6,1007.5,-,-,-,-,
SO2,,,,l,64.0628,-,-320.5,-,-,-,-,
SO2,,,,g,64.0628,-294.286,-296.830,-300.194,10.548,248.22,39.87,
SO2,,,,ao,64.0628,-,-322.980,-300.676,-,161.9,-,
SO2,in 100 H2O,,,,64.0628,-,-326.578,-,-,-,-,
SO2,in 150 H2O,,,,64.0628,-,-327.298,-,-,-,-,
SO2,in 200 H2O,,,,64.0628,-,-327.837,-,-,-,-,
SO2,in 250 H2O,,,,64.0628,-,-328.268,-,-,-,-,
SO2,in 300 H2O,,,,64.0628,-,-328.641,-,-,-,-,
SO2,in 400 H2O,,,,64.0628,-,-329.243,-,-,-,-,
SO2,in 500 H2O,,,,64.0628,-,-329.745,-,-,-,-,
SO2,in 750 H2O,,,,64.0628,-,-330.687,-,-,-,-,
SO2,in 1000 H2O,,,,64.0628,-,-331.377,-,-,-,-,
SO2,in 1500 H2O,,,,64.0628,-,-332.465,-,-,-,-,
SO2,in 2000 H2O,,,,64.0628,-,-333.222,-,-,-,-,
SO2,in 2500 H2O,,,,64.0628,-,-333.783,-,-,-,-,
SO2,in 3000 H2O,,,,64.0628,-,-334.264,-,-,-,-,
SO2,in 3500 H2O,,,,64.0628,-,-334.674,-,-,-,-,
SO2,in 4000 H2O,,,,64.0628,-,-335.005,-,-,-,-,
SO2,in 5000 H2O,,,,64.0628,-,-335.594,-,-,-,-,
SO2,in 7500 H2O,,,,64.0628,-,-336.574,-,-,-,-,
SO2,in 10000 H2O,,,,64.0628,-,-337.163,-,-,-,-,
SO2,in C6H5N(CH3)2:u in dimethylaniline,,,,64.0628,-,-339.7,-,-,-,-,
SO2<sup>+</sup>,,,,g,64.0628,896.2,900.0,-,-,-,-,
SO3,,,"I, β",cr,80.0622,-,-454.51,-374.21,-,70.7,-,
SO3,,,,l,80.0622,-,-441.04,-373.75,-,113.8,-,
SO3,,,,g,80.0622,-389.99,-395.72,-371.06,11.698,256.76,50.67,
SO3<sup>2-</sup>,,,,ao,80.0622,-,-635.5,-486.5,-,-29.,-,
SO4<sup>2-</sup>,,,,ao,96.0616,-,-909.27,-744.53,-,20.1,-293.,
S2O3<sup>2-</sup>,,,,ao,112.1262,-,-652.3*,-522.5,-,67.,-,
S2O4<sup>2-</sup>,,,,ao,128.1256,-,-753.5,-600.3,-,92.,-,
S2O6<sup>2-</sup>,,,,aq,160.1244,-,-1198.3,-,-,-,-,
S2O7<sup>2-</sup>,,,,aq,176.1238,-,-1401.2,-,-,-,-,
S2O8<sup>2-</sup>,,,,ao,192.1232,-,-1344.7,-1114.9,-,244.3,-,
S3O6<sup>2-</sup>,,,,aq,192.1884,-,-1199.6,-,-,-,-,
S4O6<sup>2-</sup>,,,,ao,224.2524,-,-1224.2,-1040.4,-,257.3,-67.8,
S5O6<sup>2-</sup>,,,,aq,256.3164,-,-1236.4,-,-,-,-,
HS,,,,g,33.0720,142.,142.67,113.29,9.083,195.67,32.30,
HS<sup>-</sup>,,,,ao,33.0720,-,-17.6,12.08,-,62.8,-,
HS<sup>+</sup>,,,,g,33.0720,1144.7,1151.4,-,-,-,-,
H2S,,,,g,34.0800,-17.707,-20.63,-33.56,9.954,205.79,34.23,
H2S,,,,ao,34.0800,-,-39.7,-27.83,-,121.,-,
H2S<sup>+</sup>,,,,g,34.0800,991.6,995.0,-,-,-,-,
H2S2,,,,l,66.1440,-,-18.12,-,-,-,84.1,
H2S2,,,,g,66.1440,-,15.52,-,-,-,51.5,
H2S3,,,,l,98.2080,-,-14.94,-,-,-,-,
H2S3,,,,g,98.2080,-,30.50,-,-,-,-,
H2S4,,,,l,130.2720,-,-12.51,-,-,-,-,
H2S4,,,,g,130.2720,-,44.22,-,-,-,-,
H2S5,,,,l,162.3360,-,-10.42,-,-,-,-,
H2S5,,,,g,162.3360,-,57.91,-,-,-,-,
H2S6,,,,l,194.4000,-,-8.33,-,-,-,-,
HSO3<sup>-</sup>,,,,ao,81.0702,-,-626.22,-527.73,-,139.7,-,
HSO4<sup>-</sup>,,,,ao,97.0696,-,-887.34,-755.91,-,131.8,-84.,
H2SO3,,equivalent to SO2(aq) + 3H2O(l)*,,ao,82.0782,-,-608.81,-537.81,-,232.2,-,
H2SO3,in 100 H2O,,,,82.0782,-,-612.408,-,-,-,-,
H2SO3,in 150 H2O,,,,82.0782,-,-613.128,-,-,-,-,
H2SO3,in 200 H2O,,,,82.0782,-,-613.667,-,-,-,-,
H2SO3,in 250 H2O,,,,82.0782,-,-614.098,-,-,-,-,
H2SO3,in 300 H2O,,,,82.0782,-,-614.471,-,-,-,-,
H2SO3,in 400 H2O,,,,82.0782,-,-615.073,-,-,-,-,
H2SO3,in 500 H2O,,,,82.0782,-,-615.575,-,-,-,-,
H2SO3,in 750 H2O,,,,82.0782,-,-616.517,-,-,-,-,
H2SO3,in 1000 H2O,,,,82.0782,-,-617.207,-,-,-,-,
H2SO3,in 1500 H2O,,,,82.0782,-,-618.295,-,-,-,-,
H2SO3,in 2000 H2O,,,,82.0782,-,-619.052,-,-,-,-,
H2SO3,in 2500 H2O,,,,82.0782,-,-619.613,-,-,-,-,
H2SO3,in 3000 H2O,,,,82.0782,-,-620.094,-,-,-,-,
H2SO3,in 3500 H2O,,,,82.0782,-,-620.504,-,-,-,-,
H2SO3,in 4000 H2O,,,,82.0782,-,-620.834,-,-,-,-,
H2SO3,in 5000 H2O,,,,82.0782,-,-621.424,-,-,-,-,
H2SO3,in 7500 H2O,,,,82.0782,-,-622.403,-,-,-,-,
H2SO3,in 10000 H2O,,,,82.0782,-,-622.993,-,-,-,-,
H2SO4,,,,cr,98.0776,-811.985,-,-,-,-,-,
H2SO4,,,,l,98.0776,-,-813.989,-690.003,28.234,156.904,138.91,
H2SO4,,,,ai,98.0776,-,-909.27,-744.53,-,20.1,-293.,
H2SO4,in 1.0 H2O,,,,98.0776,-,-841.791,-,-,-,-,
H2SO4,in 1.5 H2O,,,,98.0776,-,-849.888,-,-,-,-,
H2SO4,in 2.0 H2O,,,,98.0776,-,-855.440,-,-,-,-,
H2SO4,in 2.5 H2O,,,,98.0776,-,-859.611,-,-,-,-,
H2SO4,in 3.0 H2O,,,,98.0776,-,-862.912,-,-,-,-,
H2SO4,in 3.5 H2O,,,,98.0776,-,-865.611,-,-,-,-,
H2SO4,in 4.0 H2O,,,,98.0776,-,-867.879,-,-,-,-,
H2SO4,in 4.5 H2O,,,,98.0776,-,-869.808,-,-,-,-,
H2SO4,in 5.0 H2O,,,,98.0776,-,-871.477,-,-,-,-,
H2SO4,in 5.5 H2O,,,,98.0776,-,-872.937,-,-,-,-,
H2SO4,in 6.0 H2O,,,,98.0776,-,-874.222,-,-,-,-,
H2SO4,in 7.0 H2O,,,,98.0776,-,-876.372,-,-,-,-,
H2SO4,in 8.0 H2O,,,,98.0776,-,-878.075,-,-,-,-,
H2SO4,in 9.0 H2O,,,,98.0776,-,-879.435,-,-,-,-,
H2SO4,in 10 H2O,,,,98.0776,-,-880.527,-,-,-,-,
H2SO4,in 12 H2O,,,,98.0776,-,-882.134,-,-,-,-,
H2SO4,in 15 H2O,,,,98.0776,-,-883.623,-,-,-,-,
H2SO4,in 20 H2O,,,,98.0776,-,-884.916,-,-,-,-,
H2SO4,in 25 H2O,,,,98.0776,-,-885.585,-,-,-,-,
H2SO4,in 30 H2O,,,,98.0776,-,-885.983,-,-,-,-,
H2SO4,in 40 H2O,,,,98.0776,-,-886.460,-,-,-,-,
H2SO4,in 50 H2O,,,,98.0776,-,-886.774,-,-,-,-,
H2SO4,in 75 H2O,,,,98.0776,-,-887.292,-,-,-,-,
H2SO4,in 100 H2O,,,,98.0776,-,-887.636,-,-,-,-,
H2SO4,in 115 H2O,,,,98.0776,-,-887.811,-,-,-,-,
H2SO4,in 150 H2O,,,,98.0776,-,-888.188,-,-,-,-,
H2SO4,in 200 H2O,,,,98.0776,-,-888.627,-,-,-,-,
H2SO4,in 300 H2O,,,,98.0776,-,-889.372,-,-,-,-,
H2SO4,in 400 H2O,,,,98.0776,-,-889.974,-,-,-,-,
H2SO4,in 500 H2O,,,,98.0776,-,-890.493,-,-,-,-,
H2SO4,in 600 H2O,,,,98.0776,-,-890.983,-,-,-,-,
H2SO4,in 700 H2O,,,,98.0776,-,-891.359,-,-,-,-,
H2SO4,in 800 H2O,,,,98.0776,-,-891.728,-,-,-,-,
H2SO4,in 900 H2O,,,,98.0776,-,-892.050,-,-,-,-,
H2SO4,in 1000 H2O,,,,98.0776,-,-892.343,-,-,-,-,
H2SO4,in 1500 H2O,,,,98.0776,-,-893.522,-,-,-,-,
H2SO4,in 2000 H2O,,,,98.0776,-,-894.476,-,-,-,-,
H2SO4,in 3000 H2O,,,,98.0776,-,-895.941,-,-,-,-,
H2SO4,in 4000 H2O,,,,98.0776,-,-897.112,-,-,-,-,
H2SO4,in 5000 H2O,,,,98.0776,-,-897.970,-,-,-,-,
H2SO4,in 7000 H2O,,,,98.0776,-,-899.330,-,-,-,-,
H2SO4,in 10000 H2O,,,,98.0776,-,-900.752,-,-,-,-,
H2SO4,in 15000 H2O,,,,98.0776,-,-902.342,-,-,-,-,
H2SO4,in 20000 H2O,,,,98.0776,-,-903.326,-,-,-,-,
H2SO4,in 30000 H2O,,,,98.0776,-,-904.715,-,-,-,-,
H2SO4,in 50000 H2O,,,,98.0776,-,-906.024,-,-,-,-,
H2SO4,in 70000 H2O,,,,98.0776,-,-906.698,-,-,-,-,
H2SO4,in 100000 H2O,,,,98.0776,-,-907.321,-,-,-,-,
H2SO4,in 150000 H2O,,,,98.0776,-,-907.807,-,-,-,-,
H2SO4,in 200000 H2O,,,,98.0776,-,-908.104,-,-,-,-,
H2SO4,in 300000 H2O,,,,98.0776,-,-908.430,-,-,-,-,
H2SO4,in 500000 H2O,,,,98.0776,-,-908.719,-,-,-,-,
H2SO4,in 700000 H2O,,,,98.0776,-,-908.853,-,-,-,-,
H2SO4,in 1000000 H2O,,,,98.0776,-,-908.957,-,-,-,-,
H2SO4,in 2000000 H2O,,,,98.0776,-,-909.087,-,-,-,-,
H2SO4,in ∞ H2O,,,,98.0776,-,-909.27,-,-,-,-,
H2SO4,in 5 (CH3)2SO4 in dimethyl sulfate,,,,98.0776,-,-824.25,-,-,-,-,
H2SO4,in 10 (CH3)2SO4,,,,98.0776,-,-826.13,-,-,-,-,
H2SO4,in 15 (CH3)2SO4,,,,98.0776,-,-826.76,-,-,-,-,
H2SO4,in 20 (CH3)2SO4,,,,98.0776,-,-827.60,-,-,-,-,
H2SO4,in 25 (CH3)2SO4,,,,98.0776,-,-828.01,-,-,-,-,
H2SO4,in 10 C2H5OH,,,,98.0776,-,-876.76,-,-,-,-,
H2SO4,in 15 C2H5OH,,,,98.0776,-,-879.90,-,-,-,-,
H2SO4,in 20 C2H5OH,,,,98.0776,-,-882.61,-,-,-,-,
H2SO4,in 25 C2H5OH,,,,98.0776,-,-884.29,-,-,-,-,
H2SO4,in 49 C2H5OH,,,,98.0776,-,-887.22,-,-,-,-,
H2SO4,in 5 C6H5NO2,,,,98.0776,-,-819.02,-,-,-,-,
H2SO4,in 10 C6H5NO2,,,,98.0776,-,-820.27,-,-,-,-,
H2SO4,in 15 C6H5NO2,,,,98.0776,-,-821.11,-,-,-,-,
H2SO4,in 20 C6H5NO2,,,,98.0776,-,-821.86,-,-,-,-,
H2SO4,in 25 C6H5NO2,,,,98.0776,-,-822.37,-,-,-,-,
H2SO4,in 49 C6H5NO2,,,,98.0776,-,-823.58,-,-,-,-,
H2SO4,in 5 (C2H5)2O,,,,98.0776,-,-861.61,-,-,-,-,
H2SO4,in 10 (C2H5)2O,,,,98.0776,-,-866.72,-,-,-,-,
H2SO4,in 15 (C2H5)2O,,,,98.0776,-,-870.90,-,-,-,-,
H2SO4,in 20 (C2H5)2O,,,,98.0776,-,-874.08,-,-,-,-,
H2SO4,in 25 (C2H5)2O,,,,98.0776,-,-876.59,-,-,-,-,
H2SO4,"in CH2ClCH2Cl:u in 1,2-dichloroethane",,,,98.0776,-,-795.8,-,-,-,-,
H2SO4·H2O,,,,l,116.0930,-,-1127.621,-950.383,-,211.54,214.85,
H2SO4·2H2O,,,,l,134.1084,-,-1427.100*,-1199.650,-,276.40,260.83,
H2SO4·3H2O,,,,l,152.1238,-,-1720.402,-1443.980,-,345.39,318.95,
H2SO4·4H2O,,,,l,170.1392,-,-2011.199,-1685.863,-,414.59,382.21,
H2SO4·6.5H2O,,,,l,215.1777,-,-2733.256,-2285.734,-,587.89,570.28,
HS2O4<sup>-</sup>,,,,ao,129.1336,-,-,-614.5,-,-,-,
H2S2O4,,,,ao,130.1416,-,-,-616.6,-,-,-,
H2S2O6,,,,aq,162.1404,-,-1198.3,-,-,-,-,
H2S2O7,,,,cr,178.1398,-,-1273.6,-,-,-,113.,
H2S2O8,,,,ai,194.1392,-,-1344.7,-1114.9,-,244.3,-,
SF4,,,,g,108.0576,-767.3,-774.9,-731.3,14.569,292.03,73.01,
SF6,,,,g,146.0544,-1195.4,-1209.,-1105.3,16.970,291.82,97.28,
SF6,,,,ai,146.0544,-,-1225.9,-1084.8,-,166.5,-,
SO3F<sup>-</sup>,,,,ao,99.0606,-,-871.5,-,-,-,-,
SOF2,,,,g,86.0602,-,-,-,12.539,278.68,56.82,
SO2F2,,,,g,102.0596,-,-,-,13.560,284.04,66.02,
HF·SO2,,,,g,84.0692,-,-582.4,-,-,-,-,
HSO3F,,,,l,100.0686,-,-795.0,-,-,-,-,
HSO3F,,,,ai,100.0686,-,-871.5,-,-,-,-,
SCl2,,,,l,102.9700,-,-50.,-,-,-,-,
SCl2,,,,g,102.9700,-,-19.7,-,-,-,-,
S2Cl2,,,,l,135.0340,-,-59.4,-,-,-,-,
S2Cl2,,,,g,135.0340,-17.49,-18.4,-31.8,17.079,331.5,73.6,
S3Cl2,,,,l,167.0980,-,-51.9,-,-,-,-,
S4Cl2,,,,l,199.1620,-,-42.7,-,-,-,-,
S5Cl2,,,,l,231.2260,-,-36.8,-,-,-,-,
SOCl2,,,,l,118.9694,-,-245.6,-,-,-,121.,
SOCl2,,,,g,118.9694,-209.49,-212.5,-198.3,14.891,309.77,66.5,
SOCl2,in C6H6:u,,,,118.9694,-,-249.8,-,-,-,-,
SO2Cl2,,,,l,134.9688,-,-394.1,-,-,-,134.,
SO2Cl2,,,,g,134.9688,-357.73,-364.0,-320.0,16.004,311.94,77.0,
SO2Cl2,in C6H6:u,,,,134.9688,-,-394.1,-,-,-,-,
